Distr,REGION,GRDSPAN,CAMPUS,GRDTYPE,C_RATING,DISTRICT,School_Name,District_Name,CNTYNAME,CFLCHART,CFLALTED
'001,'07,'09 - 12,'001902001,S,A,'001902,CAYUGA H S,CAYUGA ISD,ANDERSON,N,N
'001,'07,'06 - 08,'001902041,M,B,'001902,CAYUGA MIDDLE,CAYUGA ISD,ANDERSON,N,N
'001,'07,'KG - 05,'001902103,E,A,'001902,CAYUGA EL,CAYUGA ISD,ANDERSON,N,N
'001,'07,'09 - 12,'001903001,S,B,'001903,ELKHART H S,ELKHART ISD,ANDERSON,N,N
'001,'07,'06 - 08,'001903041,M,B,'001903,ELKHART MIDDLE,ELKHART ISD,ANDERSON,N,N
'001,'07,'PK - 02,'001903101,E,A,'001903,ELKHART EL,ELKHART ISD,ANDERSON,N,N
'001,'07,'03 - 05,'001903102,E,A,'001903,ELKHART INT,ELKHART ISD,ANDERSON,N,N
'001,'07,'09 - 12,'001904001,S,A,'001904,FRANKSTON H S,FRANKSTON ISD,ANDERSON,N,N
'001,'07,'06 - 08,'001904041,M,C,'001904,FRANKSTON MIDDLE,FRANKSTON ISD,ANDERSON,N,N
'001,'07,'PK - 05,'001904102,E,A,'001904,FRANKSTON EL,FRANKSTON ISD,ANDERSON,N,N
'001,'07,'09 - 12,'001906002,S,A,'001906,NECHES H S,NECHES ISD,ANDERSON,N,N
'001,'07,'PK - 08,'001906102,E,A,'001906,NECHES EL,NECHES ISD,ANDERSON,N,N
'001,'07,'09 - 12,'001907001,S,B,'001907,PALESTINE H S,PALESTINE ISD,ANDERSON,N,N
'001,'07,'07 - 08,'001907041,M,B,'001907,PALESTINE J H,PALESTINE ISD,ANDERSON,N,N
'001,'07,'KG - 01,'001907101,E,C,'001907,NORTHSIDE PRI,PALESTINE ISD,ANDERSON,N,N
'001,'07,'PK - PK,'001907102,E,C,'001907,WASHINGTON EARLY CHILDHOOD CENTER,PALESTINE ISD,ANDERSON,N,N
'001,'07,'02 - 03,'001907107,E,C,'001907,SOUTHSIDE EL,PALESTINE ISD,ANDERSON,N,N
'001,'07,'04 - 06,'001907110,E,B,'001907,STORY INT,PALESTINE ISD,ANDERSON,N,N
'001,'07,'09 - 12,'001908002,S,B,'001908,WESTWOOD H S,WESTWOOD ISD,ANDERSON,N,N
'001,'07,'07 - 08,'001908041,M,C,'001908,WESTWOOD J H,WESTWOOD ISD,ANDERSON,N,N
'001,'07,'03 - 06,'001908101,E,B,'001908,WESTWOOD EL,WESTWOOD ISD,ANDERSON,N,N
'001,'07,'EE - 02,'001908102,E,B,'001908,WESTWOOD PRI,WESTWOOD ISD,ANDERSON,N,N
'001,'07,'09 - 12,'001909001,S,A,'001909,SLOCUM H S,SLOCUM ISD,ANDERSON,N,N
'001,'07,'PK - 08,'001909101,E,B,'001909,SLOCUM PK - 8,SLOCUM ISD,ANDERSON,N,N
'002,'18,'09 - 12,'002901001,S,B,'002901,ANDREWS H S,ANDREWS ISD,ANDREWS,N,N
'002,'18,'09 - 12,'002901002,S,C,'002901,ANDREWS EDUCATION CENTER,ANDREWS ISD,ANDREWS,N,Y
'002,'18,'06 - 08,'002901041,M,B,'002901,ANDREWS MIDDLE,ANDREWS ISD,ANDREWS,N,N
'002,'18,'02 - 03,'002901101,E,C,'002901,DEVONIAN EL,ANDREWS ISD,ANDREWS,N,N
'002,'18,'04 - 05,'002901104,E,C,'002901,UNDERWOOD EL,ANDREWS ISD,ANDREWS,N,N
'002,'18,'EE - 01,'002901105,E,C,'002901,CLEARFORK EL,ANDREWS ISD,ANDREWS,N,N
'003,'07,'09 - 12,'003801001,S,A,'003801,PINEYWOODS COMMUNITY ACADEMY H S,PINEYWOODS COMMUNITY ACADEMY,ANGELINA,Y,N
'003,'07,'10 - 11,'003801002,S,Not Rated,'003801,PINEYWOOD COMMUNITY ACADEMY - LIVINGSTON,PINEYWOODS COMMUNITY ACADEMY,ANGELINA,Y,N
'003,'07,'06 - 08,'003801042,M,B,'003801,DR TERRY ROBBINS MIDDLE,PINEYWOODS COMMUNITY ACADEMY,ANGELINA,Y,N
'003,'07,'PK - 05,'003801103,E,A,'003801,SARAH STRINDEN EL,PINEYWOODS COMMUNITY ACADEMY,ANGELINA,Y,N
'003,'07,'09 - 12,'003902001,S,A,'003902,HUDSON H S,HUDSON ISD,ANGELINA,N,N
'003,'07,'10 - 12,'003902004,S,Not Rated,'003902,STUBBLEFIELD LRN CTR,HUDSON ISD,ANGELINA,N,Y
