School_Name,District_Name,Chronic_Absenteeism_Rate,Dropout_0708,Dropout_0912,SAT_Avg,ACT_Avg,Teacher_Student_Ratio,Meets_GL_STD
21ST CENTURY EARLY LEARNING FOUNDATIONS ACADEMY,WESLACO ISD,.,.,.,.,.,35.8,.
3D ACADEMY,DONNA ISD,66.5,.,5.4,.,-1,12.9,17
A & M CONS H S,COLLEGE STATION ISD,8.5,.,0.7,1175,24.4,15.3,71
A & M CONSOLIDATED MIDDLE,COLLEGE STATION ISD,4.7,0.4,.,-1,.,14.5,52
A B DUNCAN COLLEGIATE EL,FLOYDADA COLLEGIATE ISD,5.2,.,.,.,.,12.3,33
A B MCBAY EL,MEXIA ISD,7.8,.,.,.,.,14,.
A C BLUNT MIDDLE,ARANSAS PASS ISD,5.3,1.1,.,.,.,15.2,27
A C JONES H S,BEEVILLE ISD,22.5,.,3.8,1011,19.3,15.2,43
A E BUTLER INT,QUINLAN ISD,5.1,.,.,.,.,15.3,25
A G ELDER EL,JOSHUA ISD,3.9,.,.,.,.,15,47
A LEAL JR MIDDLE,HARLANDALE ISD,14.4,1.9,.,-1,.,10.8,17
A M OCHOA EL,DONNA ISD,11.2,.,.,.,.,13.2,3
A M PATE EL,FORT WORTH ISD,5.5,.,.,.,.,13.6,21
A N RICO EL,WESLACO ISD,3.6,.,.,.,.,15.2,14
A P BEUTEL EL,BRAZOSPORT ISD,3.9,.,.,.,.,12.9,54
A P SOLIS MIDDLE,DONNA ISD,8.1,0.2,.,.,.,10.3,16
A V CATO EL,CASTLEBERRY ISD,3.5,.,.,.,.,15.2,24
A+ ACADEMY EL,A+ ACADEMY,4.7,.,.,.,.,18.6,16
A+ SECONDARY SCHOOL,A+ ACADEMY,5.2,0,0.2,889,-1,19.1,29
A+ UNLIMITED POTENTIAL - UNIVERSITY,A+ UNLIMITED POTENTIAL,15,0.9,.,.,.,16.3,26
AARON PARKER EL,NORTH LAMAR ISD,5.3,.,.,.,.,11.7,35
AB HARRISON INT,WYLIE ISD,1.6,.,.,.,.,15.4,63
ABBETT EL,GARLAND ISD,3,.,.,.,.,16.3,32
ABBOTT SCHOOL,ABBOTT ISD,3.9,0,0,-1,21.7,12,58
ABELL J H,MIDLAND ISD,8.6,0.7,.,.,.,16.6,35
ABERNATHY DAEP,ABERNATHY ISD,10,-1,-1,.,.,.,.
ABERNATHY EL,ABERNATHY ISD,3.5,.,.,.,.,13,49
ABERNATHY H S,ABERNATHY ISD,8.2,.,0,1114,21,9.7,57
ABERNATHY MIDDLE,ABERNATHY ISD,7.6,0,.,.,.,11,45
ABILENE H S,ABILENE ISD,15.3,.,1.6,1058,17.4,16.2,52
ABOUT FACE PROGRAM EL,EL PASO ISD,21.6,.,.,.,.,1.2,.
ABRAHAM KAZEN MIDDLE,SOUTH SAN ANTONIO ISD,35,4.5,.,.,.,14.1,1
ACADEMY AT CARRIE F THOMAS,BIRDVILLE ISD,3.6,.,.,.,.,14.6,37
ACADEMY AT NOLA DUNN,BURLESON ISD,1.1,.,.,.,.,15.8,51
ACADEMY EL,ACADEMY ISD,3.4,.,.,.,.,14.8,.
ACADEMY FOR TECHNOLOGY ENGINEERING MATH & SCIENCE,ABILENE ISD,2.4,.,0.6,1143,20.7,11.4,79
ACADEMY H S,ACADEMY ISD,9.8,.,1,1043,-1,11.8,53
ACADEMY INT,ACADEMY ISD,3.1,.,.,.,.,14.8,38
ACADEMY J H,ACADEMY ISD,3.9,0,.,.,.,14.9,47
ACADEMY OF ACCELERATED LEARNING,ACADEMY OF ACCELERATED LEARNING INC,1.8,0,.,.,.,0.1,19
ACADEMY OF CREATIVE ED,NORTH EAST ISD,47.1,.,0.9,-1,.,9.4,-1
ACADEMY OF DALLAS,ACADEMY OF DALLAS,11.7,0,.,.,.,14,12
ACCELERATED INT CHARTER SCHOOL,ACCELERATED INTERMEDIATE ACADEMY,.,.,.,.,.,13.6,.
ACCELERATED INTERDISCIPLINARY ACAD,ACCELERATED INTERMEDIATE ACADEMY,0.5,0,.,.,.,18.3,26
ACHIEVE ACADEMY,WYLIE ISD,37.2,0,0.5,-1,.,10.2,54
ACHIEVE EARLY COLLEGE H S,MCALLEN ISD,1.7,.,0,1026,22.1,10.7,.
ACHZIGER EL,MESQUITE ISD,2,.,.,.,.,16.4,34
ACTON EL,GRANBURY ISD,8.6,.,.,.,.,15.3,49
ACTON MIDDLE,GRANBURY ISD,7.5,0.7,.,.,.,16,52
AD WHEAT MIDDLE,CLEBURNE ISD,10.6,0.6,.,.,.,11.6,29
ADA MAE FAUBION EL,LEANDER ISD,1.6,.,.,.,.,10.7,31
ADAM EL,CYPRESS-FAIRBANKS ISD,2.9,.,.,.,.,10.7,41
ADAMS EL,CLEBURNE ISD,6,.,.,.,.,14.2,34
ADAMS EL,ARLINGTON ISD,6.6,.,.,.,.,16.3,25
ADAMS HILL EL,NORTHSIDE ISD,5.9,.,.,.,.,12.1,21
ADAMS J H,KATY ISD,1.1,0,.,.,.,18.3,78
ADAMS MIDDLE,ALICE ISD,19.4,1.9,.,.,.,13.9,15
ADELFA BOTELLO CALLEJO EL,DALLAS ISD,7.8,.,.,.,.,14,34
ADELLE TURNER EL,DALLAS ISD,9,.,.,.,.,14.5,11
ADKINS MIDDLE,CORPUS CHRISTI ISD,7.1,2,.,.,.,19.2,40
ADRIAN SCHOOL,ADRIAN ISD,2.5,0,0,880,20.2,6.2,32
ADULT TRANSITION SERVICES,EANES ISD,8.3,.,3.8,.,.,8,-1
ADVANCED LEARNING ACADEMY,SAN ANTONIO ISD,4.2,0,0.5,1048,20.3,15.8,26
ADVANTAGE ACADEMY,ADVANTAGE ACADEMY,8.9,1.7,2.8,898,-1,18.6,15
ADVENTHEALTH SCHOOL,KILLEEN ISD,17,0,0,.,.,7.7,.
AEP,MAGNOLIA ISD,-1,-1,.,.,.,0.5,.
AGNES COTTON ACADEMY,SAN ANTONIO ISD,4.6,6.1,.,.,.,14.5,32
AGNEW MIDDLE,MESQUITE ISD,3,0.3,.,.,.,15.4,36
AGUA DULCE EL,AGUA DULCE ISD,2.4,-1,.,.,.,13,15
AGUA DULCE H S,AGUA DULCE ISD,15.1,0,0,-1,20.1,11.1,44
AGUIRRE J H,CHANNELVIEW ISD,2.9,0.8,.,.,.,15.6,23
AIDA C ESCOBAR EL,PHARR-SAN JUAN-ALAMO ISD,5.5,.,.,.,.,17.1,40
AIKEN EL,BROWNSVILLE ISD,5,.,.,.,.,14.4,23
AIKIN EL,RICHARDSON ISD,7.6,.,.,.,.,12,25
AIKIN EL,PARIS ISD,3.9,.,.,.,.,13.3,34
AIKMAN EL,HEREFORD ISD,4.7,.,.,.,.,15.5,42
AIM COLLEGE & CAREER PREP,GALVESTON ISD,27,3.4,1.4,.,.,10.8,26
AIRPORT EL,WESLACO ISD,4.3,.,.,.,.,13.7,18
AKIN EL,HALE CENTER ISD,3,.,.,.,.,11.8,39
AKINS H S,AUSTIN ISD,18.7,.,1.8,907,21.3,16.2,67
ALAMO EL,GOOSE CREEK CISD,4.9,.,.,.,.,15.5,41
ALAMO HEIGHTS H S,ALAMO HEIGHTS ISD,6.2,.,0.3,1180,24,13.8,77
ALAMO HEIGHTS J H,ALAMO HEIGHTS ISD,1.5,0.3,.,.,.,14.5,52
ALAMO J H,MIDLAND ISD,9.2,0.7,.,.,.,14.2,26
ALAMO MIDDLE,PHARR-SAN JUAN-ALAMO ISD,8.9,0,.,.,.,13.2,22
ALAN B SHEPARD MIDDLE,SOUTH SAN ANTONIO ISD,19.3,2.5,.,.,.,12.3,6
ALBA-GOLDEN EL,ALBA-GOLDEN ISD,2.5,.,.,.,.,12.2,35
ALBA-GOLDEN H S,ALBA-GOLDEN ISD,7.1,0,0.8,-1,20.4,9.3,41
ALBANY JR-SR H S,ALBANY ISD,7.1,0,0,1036,23.2,11.4,50
ALBERT & IOLA LEE DAVIS MALVERN EL,MCKINNEY ISD,5.1,.,.,.,.,11.5,33
ALBERT C WILLIAMS EL,COMMERCE ISD,6.1,.,.,.,.,10.3,26
ALBERTO AND CELIA BARRERA EL,RIO GRANDE CITY GRULLA ISD,3.2,.,.,.,.,13.3,0
ALBRIGHT MIDDLE,ALIEF ISD,5.4,1.6,.,.,.,13.2,28
ALCOTT EL,HOUSTON ISD,13.9,.,.,.,.,13.5,22
ALDERSON EL,LUBBOCK ISD,7.6,.,.,.,.,12.6,23
ALDINE H S,ALDINE ISD,19.7,.,5.5,836,-1,16.5,30
ALDINE MIDDLE,ALDINE ISD,9.9,2.8,.,.,.,12.5,14
ALDRIDGE EL,PLANO ISD,3.6,.,.,.,.,13.1,48
ALEDO H S,ALEDO ISD,6.6,.,0.5,1082,24.7,16.6,86
ALEDO MIDDLE,ALEDO ISD,3.3,0.2,.,.,.,19.1,67
ALEX SANGER PREPARATORY SCHOOL,DALLAS ISD,0.9,3.1,.,.,.,14.6,43
ALEX W SPENCE TALENTED/GIFTED ACADEMY,DALLAS ISD,11.3,2.9,.,.,.,14.9,32
ALEXANDER EL,ALIEF ISD,3.6,.,.,.,.,12.8,21
ALEXANDER MIDDLE,PEARLAND ISD,1.6,.,.,.,.,17.3,62
ALFONSO BORREGO SR EL,SAN ELIZARIO ISD,3.1,.,.,.,.,15,71
ALFONSO RAMIREZ EL,EDINBURG CISD,3.6,.,.,.,.,15.7,37
ALFRED SORENSEN EL,PHARR-SAN JUAN-ALAMO ISD,2.5,.,.,.,.,16.2,20
ALICE CARLSON APPLIED LRN CTR,FORT WORTH ISD,0.3,.,.,.,.,15.2,43
ALICE D CONTRERAS,FORT WORTH ISD,2.8,.,.,.,.,15.7,24
ALICE H S,ALICE ISD,21.5,.,3.2,-1,18.7,13.7,36
ALICE JOHNSON J H,CHANNELVIEW ISD,5.2,1.4,.,.,.,16.7,19
ALICE MOORE ALEXANDER,DENTON ISD,1.3,.,.,.,.,11.6,19
ALICE PONDER EL,MANSFIELD ISD,2.6,.,.,.,.,14.2,41
ALICE W DOUSE EL,KILLEEN ISD,4.4,.,.,.,.,19.5,38
ALICIA R CHACON INTERNATIONAL,YSLETA ISD,0.7,0,.,.,.,15.3,10
ALIEF EARLY COLLEGE H S,ALIEF ISD,5.9,.,0,1140,.,19.2,.
ALIEF ISD J J A E P,ALIEF ISD,41.2,-1,-1,.,.,.,.
ALIEF LEARNING CTR (6-12),ALIEF ISD,33.1,0,0,.,.,3,.
ALIEF LEARNING CTR (K-6),ALIEF ISD,20.6,.,.,.,.,2.5,.
ALIEF MIDDLE,ALIEF ISD,8.4,1.2,.,.,.,12.4,21
ALIEF MONTESSORI COMMUNITY SCHOOL,ALIEF MONTESSORI COMMUNITY SCHOOL,3.8,0,.,.,.,18.2,38
ALKEK EL,BANDERA ISD,6.2,.,.,.,.,16.6,34
ALLAN K & CAROLYN H BIRD EDUCATION CENTER,PLANO ISD,.,.,.,.,.,-2,.
ALLEN & WILLIAM ARNOLD EL,PHARR-SAN JUAN-ALAMO ISD,5.1,.,.,.,.,15.3,12
ALLEN EL,NORTHSIDE ISD,9.6,.,.,.,.,12,26
ALLEN EL,FRISCO ISD,1.1,.,.,.,.,18.4,54
ALLEN EL,CORPUS CHRISTI ISD,5.6,.,.,.,.,11.2,14
ALLEN H S,ALLEN ISD,4.9,.,0.9,1177,26.4,20,79
ALLIENE MULLENDORE EL,BIRDVILLE ISD,2.8,.,.,.,.,11.6,36
ALLISON EL,AUSTIN ISD,9.4,.,.,.,.,11.4,21
ALLISON L STEELE E L C,SCHERTZ-CIBOLO-U CITY ISD,31.2,.,1.7,-1,.,11.7,30
ALMA BREWER STRAWN EL,LOCKHART ISD,3,.,.,.,.,14.9,25
ALMA MARTINEZ INT,MANSFIELD ISD,.,.,.,.,.,13.3,.
ALMEDA EL,HOUSTON ISD,2.5,.,.,.,.,18.1,22
ALOE EL,VICTORIA ISD,3.9,.,.,.,.,14.9,40
ALONSO S PERALES EL,EDGEWOOD ISD,12.6,.,.,.,.,16.5,21
ALPHA,MAGNOLIA ISD,67.9,.,16.7,-1,.,11.4,11
ALPINE EL,ALPINE ISD,4.9,.,.,.,.,13.3,30
ALPINE H S,ALPINE ISD,7.8,.,0.9,1047,18.9,11.6,76
ALPINE MIDDLE,ALPINE ISD,5.4,0,.,.,.,10.6,46
ALTA LOMA EL,SAN ANGELO ISD,7.4,.,.,.,.,13.7,27
ALTA VISTA EL,WACO ISD,5.7,.,.,.,.,14.6,12
ALTER DISCIPLINE CAMPUS,EAGLE MT-SAGINAW ISD,23.7,0,0,.,.,6.5,.
ALTER ED CTR,ECTOR COUNTY ISD,40.4,0,0,.,.,2.3,.
ALTER ED PROG,HURST-EULESS-BEDFORD ISD,25.7,.,.,.,.,0.5,.
ALTER H S,NORTH EAST ISD,35,.,0,.,.,2.7,.
ALTER IMPACT CTR,HAYS CISD,42,0,0,.,.,3.1,.
ALTER LEARNING CTR,KEENE ISD,41.7,.,0,.,.,7,17
ALTER MIDDLE,NORTH EAST ISD,35.6,0,.,.,.,2.4,.
ALTER SCH,FREDERICKSBURG ISD,40,.,0,.,.,14.1,62
ALTER SCH,PORT NECHES-GROVES ISD,25.7,0,0,.,.,1.2,.
ALTER SCHOOL,ALBA-GOLDEN ISD,0,-1,0,.,.,13.4,.
